movie_id,title,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genres_list
1,Toy Story ,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Animation', ""Children's"", 'Comedy']"
2,Jumanji ,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['Adventure', ""Children's"", 'Fantasy']"
3,Grumpier Old Men ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Comedy', 'Romance']"
4,Waiting to Exhale ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Comedy', 'Drama']"
5,Father of the Bride Part II ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Comedy']
6,Heat ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Crime', 'Thriller']"
7,Sabrina ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Comedy', 'Romance']"
8,Tom and Huck ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Adventure', ""Children's""]"
9,Sudden Death ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Action']
10,GoldenEye ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Adventure', 'Thriller']"
11,"American President, The ",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Comedy', 'Drama', 'Romance']"
12,Dracula: Dead and Loving It ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Comedy', 'Horror']"
13,Balto ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Animation', ""Children's""]"
14,Nixon ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']
15,Cutthroat Island ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Action', 'Adventure', 'Romance']"
16,Casino ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['Drama', 'Thriller']"
17,Sense and Sensibility ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Drama', 'Romance']"
18,Four Rooms ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Thriller']
19,Ace Ventura: When Nature Calls ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Comedy']
20,Money Train ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Action']
21,Get Shorty ,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Action', 'Comedy', 'Drama']"
22,Copycat ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"['Crime', 'Drama', 'Thriller']"
